iter	Passed	Remaining
745	20425	6954
746	20457	6928
747	20484	6901
748	20513	6874
749	20542	6847
750	20572	6821
751	20598	6793
752	20626	6766
753	20652	6738
754	20679	6710
755	20706	6683
756	20733	6655
757	20758	6627
758	20786	6600
759	20814	6573
760	20845	6546
761	20871	6518
762	20900	6492
763	20929	6465
764	20957	6437
765	20987	6411
766	21013	6383
767	21041	6356
768	21067	6328
769	21095	6301
770	21122	6273
771	21151	6246
772	21179	6219
773	21207	6192
774	21235	6165
775	21263	6137
776	21293	6111
777	21321	6083
778	21348	6056
779	21374	6028
780	21401	6001
781	21427	5973
782	21454	5945
783	21483	5918
784	21509	5891
785	21536	5863
786	21565	5836
787	21594	5809
788	21621	5782
789	21648	5754
790	21675	5727
791	21704	5700
792	21733	5673
793	21762	5646
794	21792	5619
795	21819	5591
796	21846	5564
797	21873	5536
798	21900	5509
799	21929	5482
800	21956	5454
801	21984	5427
802	22010	5399
803	22039	5372
804	22066	5345
805	22094	5317
806	22121	5290
807	22148	5263
808	22179	5236
809	22209	5209
810	22236	5182
811	22264	5154
812	22292	5127
813	22322	5100
814	22349	5073
815	22379	5046
816	22404	5018
817	22431	4990
818	22461	4963
819	22489	4936
820	22516	4909
821	22543	4881
822	22569	4854
823	22595	4826
824	22622	4798
825	22649	4771
826	22676	4743
827	22704	4716
828	22734	4689
829	22763	4662
830	22791	4635
831	22820	4608
832	22848	4580
833	22878	4553
834	22905	4526
835	22932	4498
836	22961	4471
837	22990	4444
838	23019	4417
839	23046	4389
840	23075	4362
841	23104	4335
842	23130	4307
843	23164	4281
844	23198	4255
845	23230	4228
846	23257	4201
847	23284	4173
848	23313	4146
849	23342	4119
850	23370	4091
851	23399	4064
852	23427	4037
853	23456	4010
854	23484	3982
855	23512	3955
856	23538	3927
857	23567	3900
858	23594	3872
859	23619	3845
860	23646	3817
861	23674	3790
862	23699	3762
863	23726	3734
864	23760	3708
865	23787	3680
866	23816	3653
867	23844	3626
868	23870	3598
869	23897	3570
870	23921	3542
871	23950	3515
872	23975	3487
873	24002	3460
874	24030	3432
875	24056	3405
876	24085	3377
877	24111	3350
878	24138	3322
879	24164	3295
880	24191	3267
881	24218	3240
882	24248	3213
883	24275	3185
884	24303	3158
885	24328	3130
886	24355	3102
887	24384	3075
888	24413	3048
889	24442	3020
890	24468	2993
891	24494	2965
892	24522	2938
893	24550	2910
894	24576	2883
895	24603	2855
896	24630	2828
897	24657	2800
898	24685	2773
899	24712	2745
900	24739	2718
901	24769	2691
902	24798	2663
903	24825	2636
904	24853	2608
905	24881	2581
906	24910	2554
907	24939	2526
908	24967	2499
909	24994	2471
910	25024	2444
911	25052	2417
912	25079	2389
913	25108	2362
914	25136	2335
915	25164	2307
916	25191	2280
917	25217	2252
918	25245	2225
919	25274	2197
920	25303	2170
921	25330	2142
922	25357	2115
923	25384	2087
924	25412	2060
925	25440	2033
926	25467	2005
927	25495	1978
928	25524	1950
929	25552	1923
930	25579	1895
931	25606	1868
932	25634	1840
933	25661	1813
934	25695	1786
935	25724	1758
936	25753	1731
937	25785	1704
938	25812	1676
939	25839	1649
940	25867	1621
941	25893	1594
942	25921	1566
943	25949	1539
944	25984	1512
945	26018	1485
946	26047	1457
947	26080	1430
948	26109	1403
949	26139	1375
950	26169	1348
951	26198	1320
952	26223	1293
953	26252	1265
954	26280	1238
955	26308	1210
956	26335	1183
957	26363	1155
958	26391	1128
959	26419	1100
960	26446	1073
961	26473	1045
962	26501	1018
963	26525	990
964	26553	963
965	26583	935
966	26610	908
967	26639	880
968	26668	853
969	26696	825
970	26724	798
971	26750	770
972	26777	743
973	26803	715
974	26829	687
975	26855	660
976	26882	632
977	26909	605
978	26937	577
979	26964	550
980	26990	522
